INSERT INTO Cars (Id, Model, Brand) VALUES
(1, 'Toyota Corolla', 'Toyota'),
(2, 'Honda Civic', 'Honda'),
(3, 'Ford Focus', 'Ford'),
(4, 'Nissan Qashqai', 'Nissan'),
(5, 'BMW 3 Series', 'BMW'),
(6, 'Mercedes-Benz C-Class', 'Mercedes-Benz'),
(7, 'Audi A4', 'Audi'),
(8, 'Volkswagen Golf', 'Volkswagen'),
(9, 'Mazda 3', 'Mazda'),
(10, 'Subaru Impreza', 'Subaru'),
(11, 'Kia Optima', 'Kia'),
(12, 'Hyundai Sonata', 'Hyundai'),
(13, 'Renault Megane', 'Renault'),
(14, 'Opel Astra', 'Opel'),
(15, 'Peugeot 308', 'Peugeot'),
(16, 'Suzuki Swift', 'Suzuki'),
(17, 'Fiat 500', 'Fiat'),
(18, 'Volvo S60', 'Volvo'),
(19, 'Skoda Octavia', 'Skoda'),
(20, 'Citroen C4', 'Citroen');

INSERT INTO Sales (CarId, Date, Price) VALUES
(1, '2021-08-15 12:00:00', 1952564),
(3, '2024-01-09 12:00:00', 1203194),
(16, '2023-11-27 12:00:00', 2182985),
(20, '2020-06-23 12:00:00', 2565699),
(7, '2020-01-18 12:00:00', 1041706),
(2, '2024-07-23 12:00:00', 1619701),
(8, '2019-01-24 12:00:00', 1220645),
(14, '2021-03-08 12:00:00', 1365879),
(12, '2022-09-03 12:00:00', 2367853),
(8, '2019-12-27 12:00:00', 2806230),
(9, '2020-04-01 12:00:00', 2054284),
(20, '2024-05-13 12:00:00', 833774),
(16, '2022-07-15 12:00:00', 553335),
(12, '2021-02-02 12:00:00', 2597566),
(11, '2022-11-12 12:00:00', 1279370),
(8, '2022-10-02 12:00:00', 643720),
(1, '2021-08-08 12:00:00', 1679961),
(16, '2022-01-29 12:00:00', 2535380),
(4, '2021-02-04 12:00:00', 2506487),
(9, '2022-04-22 12:00:00', 1495897),
(14, '2020-10-02 12:00:00', 2888559),
(7, '2022-02-05 12:00:00', 1408529),
(19, '2024-12-28 12:00:00', 2745131),
(10, '2022-04-05 12:00:00', 1001058),
(11, '2022-09-25 12:00:00', 1706250),
(2, '2021-06-03 12:00:00', 2193832),
(14, '2020-10-07 12:00:00', 1016080),
(10, '2023-03-06 12:00:00', 2619877),
(14, '2022-02-01 12:00:00', 1609464),
(11, '2021-07-12 12:00:00', 749259),
(6, '2019-11-07 12:00:00', 527239),
(1, '2024-03-03 12:00:00', 2052977),
(20, '2019-01-23 12:00:00', 2836234),
(7, '2022-06-29 12:00:00', 1015793),
(1, '2023-02-27 12:00:00', 1235327),
(3, '2020-09-22 12:00:00', 2685793),
(20, '2024-01-08 12:00:00', 784516),
(12, '2024-07-10 12:00:00', 1995964),
(16, '2021-07-24 12:00:00', 2530220),
(20, '2021-03-11 12:00:00', 2700181),
(11, '2020-05-22 12:00:00', 2056346),
